t,457,181,89115
t,346,3321,83969
t,384,1468,99127
t,3425,4411,78748
t,1397,4518,54736
t,3319,1181,68105
t,1169,2478,13085
t,4204,4764,86787
t,822,1865,47043
t,146,3292,94073
t,3142,101,70606
t,2256,447,3927
t,1224,2183,26747
t,1702,608,47511
t,450,3358,27029
t,185,1677,79563
t,3290,4199,97041
t,2726,3403,76806
t,864,578,33671
t,2906,2076,73315
t,3330,218,83417
t,3936,3826,75216
t,4214,1402,32400
t,961,3105,99360
t,4823,4907,82718
t,1851,1444,25748
t,1413,1086,89947
t,4806,165,14702
t,2963,1029,30280
t,2985,3936,68708
t,1300,3618,85278
t,1068,2554,69104
t,1283,1769,36859
t,34,4082,71316
t,4394,3905,51223
t,2111,2108,64019
t,2858,3522,45106
t,4156,4680,40271
t,3858,2643,52652
t,489,628,12940
t,4197,1928,31559
t,4474,2996,79113
t,4930,632,92234
t,1788,666,81316
t,3103,60,10221
t,677,3524,38682
t,4695,2734,97204
t,1152,1891,48236
t,2774,749,35879
t,426,1238,26507
t,3365,1787,9788
t,4923,1262,69136
t,388,2544,79768
t,2621,684,6787
t,289,139,33199
t,509,816,41723
t,4190,1863,74458
t,2745,4368,37701
t,980,2142,13450
t,3210,3920,81040
t,1069,3638,92828
t,856,4913,50442
t,1343,301,39338
t,1111,4275,80022
t,4249,4564,60161
t,2447,1425,47329
t,4170,1968,5544
t,4979,1065,79912
t,4031,3398,43407
t,3832,1608,32327
t,4871,2677,92317
t,4050,4885,22231
t,843,1229,33884
t,180,3692,3159
t,201,2941,44075
t,1713,388,50501
t,393,910,77469
t,937,2241,38534
t,2200,1272,81932
t,606,104,59893
t,4285,1328,82570
t,2953,378,8808
t,183,1222,91389
t,419,1402,10081
t,3577,2956,4374
t,2652,1021,91114
t,4504,1415,28377
t,1972,3704,90618
t,1857,2256,48243
t,3789,2863,14699
t,3681,3500,71027
t,2602,1453,26406
t,2761,2989,63980
t,4149,3408,6734
t,581,1985,51042
t,4954,989,57064
t,2420,493,4831
t,796,3817,99887
t,2765,675,22143
t,1007,816,31358
t,706,849,59858
t,1732,4803,32664
t,4489,2565,55653
t,3468,1714,79061
t,1554,2296,22398
t,2595,3602,29740
t,4658,1022,35233
t,840,3170,65403
t,726,936,42430
t,4221,3295,64598
t,578,353,75447
t,436,3438,6602
t,3099,2927,50519
t,3751,2748,98586
t,4163,4302,77234
t,1560,3249,90836
t,1299,2908,63211
t,2884,100,6381
t,4638,2179,43669
t,2067,1400,6965
t,1664,1978,27318
t,3462,2414,75756
t,1415,1865,95036
t,1934,1968,49136
t,519,1131,44790
t,2752,4044,33039
t,3587,1695,87299
t,3149,4579,12400
t,882,4217,24579
t,4550,2636,45979
t,2866,652,7957
t,184,4114,86724
t,2291,530,14941
t,2326,2464,31910
t,2813,4335,49393
t,2602,2087,89789
t,641,2026,66485
t,4291,1528,31064
t,1690,2410,81634
t,2620,1960,60622
t,3598,4827,16275
t,2907,1363,40389
t,982,3654,72271
t,922,2333,46087
t,4183,146,60422
t,4928,4101,8861
t,4716,1094,82240
t,1200,385,43768
t,3616,3428,16178
t,1601,1048,43138
t,2222,999,64317
t,4848,3906,90680
t,237,1240,30687
t,3859,3514,79372
t,1298,4050,85870
t,3071,3978,94971
t,1932,46,56065
t,4171,2599,72803
t,2938,1215,41231
t,4115,4168,2279
t,3604,2742,18278
t,2921,2591,13536
t,4952,4180,91128
t,638,3039,49643
t,9,689,53693
t,879,3761,69023
t,849,693,69069
t,3266,4864,36668
t,2420,4154,19235
t,3650,4621,98403
t,2280,3225,67498
t,1910,2498,10089
t,1797,2451,99269
t,2925,3089,23660
t,3919,4451,29350
t,2611,330,93111
t,2985,2531,40156
t,2053,2149,36372
t,73,4569,25526
t,4307,4571,40147
t,4062,1852,39724
t,1559,3762,72223
t,1647,559,44674
t,2267,4836,4115
t,926,3755,13566
t,1627,2718,75248
t,1089,703,67780
t,1244,4109,96281
t,2615,4182,17203
t,4492,3489,71774
t,4638,2551,78626
t,714,462,88740
t,2936,2109,15652
t,2609,728,50488
t,1723,1655,59244
t,1641,4634,28314
t,1888,724,94018
t,4667,3320,58127
t,2300,2288,57309
t,4502,1780,27150
t,1275,2771,66054
t,1253,3485,41516
t,4992,1421,79978
t,1995,382,80706
t,2483,2105,83713
t,3078,3746,18348
t,1391,1987,10424
t,1760,1654,83744
t,1238,306,7384
t,4898,4808,74165
t,2048,1084,56936
t,4453,3689,11773
t,968,3681,78194
t,945,2029,49928
t,3003,4512,98385
t,1715,3942,53484
t,1414,1685,90471
t,1837,3446,77125
t,1933,4684,42432
t,4316,4583,3592
t,4832,2983,99676
t,3119,2436,74717
t,4891,3404,68399
t,4436,702,61780
t,4363,57,56292
t,2748,1772,76586
t,1231,3187,18271
t,1701,1376,91717
t,177,3309,87754
t,3960,3978,47337
t,2552,3810,30320
t,3579,1930,19108
t,3296,3173,38864
t,3046,2610,69566
t,4825,1973,24623
t,2468,1073,87748
t,4053,2304,60935
t,3675,357,3663
t,392,535,83325
t,4497,847,7303
t,1833,4751,82465
t,3504,3331,65747
t,2611,2979,68921
t,1474,2377,2883
t,2392,2202,1208
t,3366,1022,62282
t,2465,1427,55938
t,4751,102,56296
t,3414,1846,73183
t,1738,1343,49030
t,392,3176,3782
t,4208,3032,53465
t,4955,1995,56444
t,227,4822,13821
t,3109,2214,87375
t,668,1932,49749
t,2949,4398,61176
t,3887,4149,56278
t,1534,3915,43125
t,4716,653,9468
t,97,1045,18997
t,230,254,18381
t,46,1561,10377
t,2841,3140,50199
t,3013,2601,23765
t,387,3269,72049
t,1487,1219,82799
t,2662,1458,33301
t,3940,2992,27216
t,3416,4060,64222
t,4235,509,51619
t,4583,740,88225
t,2964,2138,39786
t,4692,4980,24278
t,4890,2993,11879
t,6,4733,20149
t,3406,1220,27720
t,1205,3883,74178
t,4505,4175,48522
t,3072,2591,23934
t,2293,3178,49443
t,3912,2762,61535
t,2136,2078,13674
t,3274,1770,78654
